Star Rating,Review Text,Word Count
1,Отвратительно,1
1,Роспотребнадзор по вам плачет!,4
1,На троечку,2
1,Отвратительная организация работы персонала и полное отсутствие контроля со стороны администрации!,11
1,Продают просрочку,2
1,ОТРИЦАТЕЛЬНОЕ,1
1,Обман,1
1,Не квалифицированный и не клиентоориентированный персонал,6
1,Неоднократная продажа просроченных товаров в одном и том же магазине,10
1,Пятёрочка -это магазин в котором всегда наидут способ обмануть покупателя.,10
1,Пропадают бонусы на выручай карте.,5
1,Акция,1
1,Ужас!,1
1,"Обман, обвес, начальство на стороне обмана",6
1,"Большой ассортимент, персонал ужасный",4
1,Можно было и лучше,4
1,По персональной акции не начислены баллы,6
1,Обыска не ожидала!,3
1,"Отвратительное обслуживание,хамство и грубость!",4
1,Воровство и [цензура]! Избегайте эту сеть!,6
1,Негативное,1
1,Ужасно .,2
1,Постоянный беспорядок с ценниками,4
1,Омерзительное отношение к коллегам,4
1,крайнее недовольство,2
1,устройство на работу,3
1,Обманывают в цене,3
1,Супермарке у дома,3
1,Работники думают только о себе .,6
1,Скудный осортимент,2
1,Качество товаров не контролируют,4
1,Требуют от покупателей выполнения работы сотрудников.,6
1,Сельпо номер 9 в 80-е годы,6
1,Не советую!,2
1,Плохо,1
1,Выдача посылки на кассе,4
1,Самая ужасная торговая сеть.,4
1,Магазин кидало,2
1,Самая неприятная сеть магазинов...,4
1,"Привезли не все , вижу факт воровства для обращения в полицию",11
1,1,1
1,Ужасно!,1
1,Отвратительный магазин,2
1,"Купить дешево то, что вообще нужно выкинуть.",7
1,"Ужасный сервис Магазин Пятёрочка , Люберцы Октябрьский проспект 304",9
1,Бардак в ценниках,3
1,Не нравится данная сеть,4
1,Дети сына лейтенанта Шмидта в Краснодаре.,6
1,Отвратительно,1
1,Полный трэш в ростовской пятерочке,5
1,Пятёрочка рулит,2
1,Отвратительный магазин.,2
1,Удивительное Хамство сотрудника магазина Пятерочка,5
1,Обман с накопительными балами!,4
1,Нелогичная просьба надеть перчатки,4
1,Не рукомендую данное место работы,5
1,Отрицательное,1
1,полное [цензура],2
1,"Напоказ - всё для людей, на деле - последний магазин, в который хочется прийти",14
1,шок и ужас,3
1,Общёт и обман!,3
1,Пора закрывать эту сеть,4
1,"Просрочка, очереди, обман со стоимостью товара, обсчет покупателей",8
1,"Постоянно обсчитывают, пробивают вместо двух товаров - три!",8
1,не умеющие работать малолетки-продавщицы,4
1,Воруют,1
1,Нет свободных кассиров,3
1,Как кассиры мошенники обдирают вас на ходу...,7
1,Уровень Дикси,2
1,Отрицательно,1
1,Негативное,1
1,Схемы обмана покупателей с ценами,5
1,Купили тортик по акции. Ужас,5
1,Примите меры! Куда смотрит администрация магазина!,6
1,ХАМСТВО,1
1,Нет смс с кодом.,4
1,Просто отвратительно,2
1,"доверьяй, но проверьяй...",3
1,Отвратительно,1
1,Ужасно,1
